Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add Dokter,Chrome 78.0.3904.108,,,2019-12-01 15:54:39,2019-12-01 15:56:38,1m - 59.546s,FAILED
,,,,,,,
Test Cases/Login,Chrome 78.0.3904.108,,,2019-12-01 15:54:41,2019-12-01 15:55:22,40.978s,PASSED
"openBrowser(""https://hc.staging.medigo.id/login"")",Chrome 78.0.3904.108,,,2019-12-01 15:54:43,2019-12-01 15:55:14,31.363s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Username""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 15:55:14,2019-12-01 15:55:17,2.322s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Password""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 15:55:17,2019-12-01 15:55:18,0.984s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/button_Masuk""))",Chrome 78.0.3904.108,,,2019-12-01 15:55:18,2019-12-01 15:55:18,0.610s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:55:18,2019-12-01 15:55:21,3.012s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""))",Chrome 78.0.3904.108,,,2019-12-01 15:55:21,2019-12-01 15:55:22,0.351s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dashboard/Medigo Logo""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:55:22,2019-12-01 15:55:22,0.276s,PASSED
,,,,,,,
Test Cases/View Dokter,Chrome 78.0.3904.108,,,2019-12-01 15:55:22,2019-12-01 15:55:27,5.290s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/Dokter Button""))",Chrome 78.0.3904.108,,,2019-12-01 15:55:22,2019-12-01 15:55:23,0.818s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), 30)",Chrome 78.0.3904.108,,,2019-12-01 15:55:23,2019-12-01 15:55:27,4.236s,PASSED
,,,,,,,
Test Cases/Add Dokter,Chrome 78.0.3904.108,,,2019-12-01 15:55:27,2019-12-01 15:56:38,1m - 10.922s,FAILED
"openBrowser(""https://hc.staging.medigo.id/login"")",Chrome 78.0.3904.108,,,2019-12-01 15:55:27,2019-12-01 15:55:47,19.202s,PASSED
