Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sync Dokter,Chrome 78.0.3904.108,,,2019-12-01 16:07:08,2019-12-01 16:07:38,29.765s,FAILED
,,,,,,,
Test Cases/Login,Chrome 78.0.3904.108,,,2019-12-01 16:07:08,2019-12-01 16:07:30,22.000s,PASSED
"openBrowser(""https://hc.staging.medigo.id/login"")",Chrome 78.0.3904.108,,,2019-12-01 16:07:09,2019-12-01 16:07:24,15.624s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Username""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 16:07:24,2019-12-01 16:07:26,1.374s,PASSED
"setText(findTestObject(""Object Repository/Page_Masuk/Input Password""), ""admintest007"")",Chrome 78.0.3904.108,,,2019-12-01 16:07:26,2019-12-01 16:07:26,0.474s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/button_Masuk""))",Chrome 78.0.3904.108,,,2019-12-01 16:07:26,2019-12-01 16:07:27,1.028s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:07:27,2019-12-01 16:07:30,2.715s,PASSED
"click(findTestObject(""Object Repository/Page_Masuk/Decline Notification Permission Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:07:30,2019-12-01 16:07:30,0.319s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dashboard/Medigo Logo""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:07:30,2019-12-01 16:07:30,0.271s,PASSED
,,,,,,,
Test Cases/View Dokter,Chrome 78.0.3904.108,,,2019-12-01 16:07:30,2019-12-01 16:07:35,4.386s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/Dokter Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:07:30,2019-12-01 16:07:31,0.671s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Dokter/Input Search Dokter""), 30)",Chrome 78.0.3904.108,,,2019-12-01 16:07:31,2019-12-01 16:07:35,3.614s,PASSED
,,,,,,,
Test Cases/Sync Dokter,Chrome 78.0.3904.108,,,2019-12-01 16:07:35,2019-12-01 16:07:38,3.199s,FAILED
"click(findTestObject(""Object Repository/Page_Dokter/Sync Button""))",Chrome 78.0.3904.108,,,2019-12-01 16:07:35,2019-12-01 16:07:35,0.349s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Dokter/Button Sync""))",Chrome 78.0.3904.108,,,2019-12-01 16:07:35,2019-12-01 16:07:38,2.740s,FAILED
